Empreendimento,Unidade,Tipo,Área Privativa (m²),Situação,Valor VGV,Valor m²,Chave
PARADISE BAY,Apto 1104,Sala,"79,9",Vendida,"R$ 863.583,00","R$ 10.808,30",
PARADISE BAY,Apto 1706,3S,"81,1",Vendida,"R$ 1.160.739,10","R$ 14.312,44",
CORAL GABLES,Apartamento2401,3S,"206,17",Vendida,"R$ 3.532.681,75","R$ 17.134,80",
BLUE COAST,Apartamento 3203,3S,"131,52",Vendida,"R$ 2.219.430,72","R$ 16.875,23",
PARADISE BAY,Apto 1304,3S,"79,9",Vendida,"R$ 893.755,24","R$ 11.185,92",
PARADISE BAY,Apto 1406,3S,"81,1",Vendida,"R$ 1.012.013,02","R$ 12.478,58",
PARADISE BAY,Apto 1505,3S,"81,53",Vendida,"R$ 996.736,44","R$ 12.225,39",
PARADISE BAY,Apto 605,3S,"81,53",Vendida,"R$ 884.628,98","R$ 10.850,35",
BLUE COAST,Apartamento 2503,3S,"131,52",Vendida,"R$ 1.859.420,48","R$ 14.137,93",
SUNNY ISLAND,Apto 2201,2S,"122,79",Vendida,"R$ 1.756.388,33","R$ 14.304,00",
PARADISE BAY,Apto 706,3S,"81,1",Vendida,"R$ 929.281,47","R$ 11.458,46",
PARADISE BAY,Apto 1506,3S,"81,1",Vendida,"R$ 1.030.076,26","R$ 12.701,31",
BLUE COAST,Apartamento 2601,3S,"131,99",Vendida,"R$ 1.991.485,30","R$ 15.088,15",
OCEAN PARK,Apto 2203 N,3S,"78,91",Vendida,"R$ 1.063.090,09","R$ 13.472,18",
OCEAN PARK,Apto 702 S,3S,"121,37",Vendida,"R$ 1.423.935,39","R$ 11.732,19",
OCEAN PARK,Apto 802 S,3S,"121,37",Vendida,"R$ 1.438.580,37","R$ 11.852,85",
PARADISE BAY,Apto 1606,3S,"81,1",Vendida,"R$ 1.048.182,80","R$ 12.924,57",
PARADISE BAY,Apto 2006,3S,"81,1",Vendida,"R$ 1.078.058,98","R$ 13.292,96",
OCEAN PARK,Apto 1302 N,3S,"122,55",Vendida,"R$ 1.516.440,10","R$ 12.374,05",
PARADISE BAY,Apto 806,3S,"81,1",Vendida,"R$ 940.560,48","R$ 11.597,54",
GOLD COAST,Apto. 1103 S,Sala,"125,03",Vendida,"R$ 1.805.606,22","R$ 14.441,38",
OCEAN PARK,Apto 1302 S,Sala,"121,37",Vendida,"R$ 1.506.875,01","R$ 12.415,55",
PARADISE BAY,Apto 2106,Sala,"81,1",Vendida,"R$ 1.085.528,03","R$ 13.385,06",
BLUE COAST,Apartamento 2603,3S,"131,52",Vendida,"R$ 1.887.733,66","R$ 14.353,21",
OCEAN PARK,Apto 1301 N,3S,"121,37",Vendida,"R$ 1.516.492,54","R$ 12.494,79",
PARADISE BAY,Apto 1906,2S,"81,1",Vendida,"R$ 1.190.896,71","R$ 14.684,30",
OCEAN PARK,Apto 1102 S,3S,"121,37",Vendida,"R$ 1.483.671,80","R$ 12.224,37",
PARADISE BAY,Apto 1605,3S,"81,53",Vendida,"R$ 1.014.776,63","R$ 12.446,67",
PARADISE BAY,Apto 2505,3S,"81,53",Vendida,"R$ 1.082.050,64","R$ 13.271,81",
SUNNY ISLAND,Apto 1902,3S,"122,79",Vendida,"R$ 1.691.907,40","R$ 13.778,87",
BLUE COAST,Apartamento 1303,3S,"131,52",Vendida,"R$ 1.844.416,00","R$ 14.023,84",
OCEAN PARK,Apto 2004 S,3S,"82,29",Vendida,"R$ 999.752,50","R$ 12.149,14",
PARADISE BAY,Apto 2305,3S,"81,53",Vendida,"R$ 1.067.100,91","R$ 13.088,44",
PARADISE BAY,Apto 2304,3S,"79,9",Vendida,"R$ 1.073.667,63","R$ 13.437,64",
PARADISE BAY,Apto 1006,3S,"81,1",Vendida,"R$ 963.579,69","R$ 11.881,38",
BLUE COAST,Apartamento 2803,3S,"131,52",Vendida,"R$ 2.043.028,87","R$ 15.533,98",
CORAL GABLES,Apartamento2701,3S,"206,17",Vendida,"R$ 3.841.362,38","R$ 18.632,01",
OCEAN PARK,Apto 1001 N,3S,"121,37",Vendida,"R$ 1.485.959,14","R$ 12.243,22",
OCEAN PARK,Apto 1102 N,3S,"122,55",Vendida,"R$ 1.488.221,07","R$ 12.143,79",
